-0.031500,1.000000,1.000000,0.205404,-0.574220,0.792515,0.031500,1.000000,1.000000,0.439952,-0.615154,0.654238
-0.031500,1.000000,1.000000,0.300321,-0.082218,0.950288,0.031500,1.000000,1.000000,0.319808,-0.537108,0.780537
-0.031500,1.000000,1.000000,0.254984,0.060484,0.965052,0.031500,1.000000,1.000000,0.260085,-0.586261,0.767238
-0.031500,1.000000,1.000000,0.173595,0.091674,0.980541,0.031500,1.000000,1.000000,0.244594,-0.669332,0.701547
-0.031500,1.000000,1.000000,0.116793,0.202488,0.972295,0.031500,1.000000,1.000000,0.206390,-0.560943,0.801715
-0.031500,1.000000,1.000000,0.115266,0.283467,0.952030,0.031500,1.000000,1.000000,0.199502,-0.569005,0.797767
-0.031500,1.000000,1.000000,0.112165,0.348168,0.930698,0.031500,1.000000,1.000000,0.193934,-0.637273,0.745837
-0.031500,1.000000,1.000000,0.089322,0.381607,0.919999,0.031500,1.000000,1.000000,0.160951,-0.627760,0.761585
-0.031500,1.000000,1.000000,0.072598,0.396714,0.915067,0.031500,1.000000,1.000000,0.156121,-0.595784,0.787825
-0.031500,1.000000,1.000000,0.037574,0.391252,0.919516,0.031500,1.000000,1.000000,0.135576,-0.614065,0.777524
-0.031500,1.000000,1.000000,0.019597,0.436209,0.899632,0.031500,1.000000,1.000000,0.086678,-0.640442,0.763099
-0.031500,1.000000,1.000000,0.018760,0.486236,0.873626,0.031500,1.000000,1.000000,0.053852,-0.413691,0.908823
-0.031500,1.000000,1.000000,-0.048020,0.462913,0.885102,0.031500,1.000000,1.000000,0.070403,-0.400382,0.913640
-0.031500,1.000000,1.000000,-0.047692,0.438804,0.897316,0.031500,1.000000,1.000000,0.091919,-0.455712,0.885368
-0.031500,1.000000,1.000000,0.010245,0.452323,0.891796,0.031500,1.000000,1.000000,0.091576,-0.464069,0.881053
-0.031500,1.000000,1.000000,-0.016494,0.498512,0.866726,0.031500,1.000000,1.000000,0.072616,-0.451105,0.889512
-0.031500,1.000000,1.000000,-0.094830,0.511366,0.854114,0.031500,1.000000,1.000000,-0.004102,-0.293931,0.955818
-0.031500,1.000000,1.000000,-0.097042,0.500303,0.860395,0.031500,1.000000,1.000000,-0.109947,-0.873797,0.473699
-0.031500,1.000000,1.000000,-0.088097,0.477273,0.874328,0.031500,1.000000,1.000000,-0.128396,-0.876736,0.463517
-0.031500,1.000000,1.000000,-0.079148,0.452005,0.888497,0.031500,1.000000,1.000000,-0.132304,-0.884590,0.447209
-0.031500,1.000000,1.000000,-0.067195,0.434121,0.898345,0.031500,1.000000,1.000000,-0.170816,-0.868181,0.465922
-0.031500,1.000000,1.000000,0.027182,0.505773,0.862238,0.031500,1.000000,1.000000,-0.172180,-0.856449,0.486671
-0.031500,1.000000,1.000000,-0.020492,0.447739,0.893929,0.031500,1.000000,1.000000,-0.180839,-0.864210,0.469509
-0.031500,1.000000,1.000000,-0.002009,0.491224,0.871031,0.031500,1.000000,1.000000,-0.178477,-0.847559,0.499791
-0.031500,1.000000,1.000000,-0.021264,0.465782,0.884644,0.031500,1.000000,1.000000,-0.170935,-0.879928,0.443292
-0.031500,1.000000,1.000000,-0.074175,0.432917,0.898377,0.031500,1.000000,1.000000,-0.182336,-0.860872,0.475030
-0.031500,1.000000,1.000000,-0.014397,0.451360,0.892226,0.031500,1.000000,1.000000,-0.213054,-0.825198,0.523122
-0.031500,1.000000,1.000000,-0.070498,0.429372,0.900372,0.031500,1.000000,1.000000,-0.214339,-0.813624,0.540440
-0.031500,1.000000,1.000000,-0.055744,0.454726,0.888885,0.031500,1.000000,1.000000,-0.215635,-0.802132,0.556853
-0.031500,1.000000,1.000000,-0.032507,0.476602,0.878518,0.031500,1.000000,1.000000,-0.234522,-0.795522,0.558699
